Destination,Property Name,Property Type,Website,Status,Research Date,Notes,Max Guests,Sleeping Capacity,Number of Units,Largest Gathering Space Capacity,Private Buyout Possible (Y/N),Can Reserve 1 Year In Advance,Multi-Generational Friendly (1-5),ADA Accessibility (1-5),Estimated Reunion Cost,Cost Per Family,Cost Score (1-10),Includes Meals (Y/N),Additional Fees,Value Score (1-10),Nearest Airport,Airport Drive Time (min),Direct Flights from NYC (1-5),Direct Flights from ATL/Southeast (1-5),Direct Flights from Midwest (1-5),Direct Flights from West Coast (1-5),Travel Convenience Score (1-10),On-Site Activities Count,Swimming (Y/N),Water Sports (Y/N),Hiking (Y/N),Kids Programs (Y/N),Teen Activities (Y/N),Adult Activities (Y/N),Indoor Backup Activities (Y/N),Activity Score (1-10),Exclusive Gathering Areas (1-5),Group Dining Options (1-5),Reunion Programming Support (1-5),Campfire/Event Spaces (1-5),Privacy Score (1-10),Reunion Suitability Score (1-10),Scenic Quality (1-10),Water Access (1-5),Mountain Access (1-5),Wildlife Viewing (1-5),Nearby National Park (Y/N),Signature Attraction,Beauty Score (1-10),Typical July High,Typical July Low,Humidity Score (1-10),Weather Reliability Score (1-10),Ages 3-8 Score,Ages 9-13 Score,Teen Score,Overall Kid Appeal (1-10),Outdoor Recreation Score,Relaxation Score,Food & Beverage Score,Nearby Town Appeal Score,Adult Appeal Score (1-10),Cell Service,WiFi Quality,Medical Facility Distance,Grocery Distance,Logistics Score (1-10),Overall Weighted Score,Final Rank
Durango / Purgatory, Colorado,Large Vacation Home Clusters Near Purgatory,Rental Cluster Strategy,,Candidate,2026-05-24,Durango #2.,,,,,,Varies; verify,,,,,,,,,DRO,45-60,,,,,,,,Y,,,,,,,,,,,,,Purgatory / San Juan Mountains,,,,,,,,,,,,,,,,,,
Durango / Purgatory, Colorado,Black Diamond Lodge Area,Lodge / Cluster Strategy,,Candidate,2026-05-24,Durango #3.,,,,,,Likely; verify,,,,,,,,,DRO,45-60,,,,,,,,Y,,,,,,,,,,,,,Purgatory / San Juan Mountains,,,,,,,,,,,,,,,,,,
Leavenworth, Washington,Sleeping Lady Mountain Resort & Spa,Mountain Resort / Retreat,,Candidate,2026-05-24,Leavenworth #1; multiple event spaces seating 120-150+; resort campus/pool/dining.,,,,120-150+,,Likely; verify,,,,,,,,,EAT / SEA,40-150,,,,,,Y,,Y,,,Y,,,,,,,,,,,,Leavenworth / Cascades,,,,,,,,,,,,,,,,,,
Leavenworth, Washington,Icicle Village Resort,Resort,,Candidate,2026-05-24,Leavenworth #2; up to ~150-200 guests; multiple ballrooms; pool/mini golf.,,,,150-200,,Likely; verify,,,,,,,,,EAT / SEA,40-150,,,,,,Y,,Y,Y,,Y,Y,,,,,,,,,,,,Leavenworth / Cascades,,,,,,,,,,,,,,,,,,
Leavenworth, Washington,Mountain Springs Lodge,Cabin Lodge / Resort,,Candidate,2026-05-24,Leavenworth #3; cabins/lodge; family reunions; zipline; one cabin sleeps 28.,,,,,,Likely; verify,,,,,,,,,EAT / SEA,40-150,,,,,,,,Y,Y,,,,,,,,,,,,Leavenworth / Cascades,,,,,,,,,,,,,,,,,,
McCall / Payette Lake, Idaho,Shore Lodge,Lake Lodge / Resort,,Finalist Candidate,2026-05-24,McCall #1; current western rank #5.,,,,,,Likely; verify,,,,,,,,,BOI,120,,,,,,Y,Y,Y,Y,,Y,Y,,,,,,,,,,,,Payette Lake,,,,,,,,,,,,,,,,,,
McCall / Payette Lake, Idaho,Pilgrim Cove Camp,Camp / Retreat Center,,Candidate,2026-05-24,McCall #2.,,,,,,Likely; verify,,,,,,,,,BOI,120,,,,,,Y,Y,Y,Y,,Y,Y,,,,,,,,,,,,Payette Lake,,,,,,,,,,,,,,,,,,
McCall / Payette Lake, Idaho,Bear Creek Lodge,Lodge,,Candidate,2026-05-24,McCall #3.,,,,,,Likely; verify,,,,,,,,,BOI,120,,,,,,Y,,Y,,,,,,,,,,,,,McCall / Payette Lake,,,,,,,,,,,,,,,,,,
McCall / Payette Lake, Idaho,Broken Ridge Ranch,Ranch / Retreat,,Candidate,2026-05-24,McCall #4.,,,,,,,,,,,,,,,,BOI,120,,,,,,,,Y,,,,,,,,,,,,,McCall / Payette Lake,,,,,,,,,,,,,,,,,,
McCall / Payette Lake, Idaho,The Gathering Place,Large Vacation Rental / Lodge,,Candidate,2026-05-24,McCall #5.,,,,,,Likely; verify,,,,,,,,,BOI,120,,,,,,,,Y,,,,,,,,,,,,,McCall / Payette Lake,,,,,,,,,,,,,,,,,,
Sandpoint / Lake Pend Oreille / Schweitzer, Idaho,Schweitzer,Mountain Resort,,Finalist Candidate,2026-05-24,Sandpoint #1; current western rank #3.,,,,,,Likely; verify,,,,,,,,,GEG,90,,,,,,Y,,Y,Y,,Y,Y,,,,,,,,,,,,Schweitzer / Lake Pend Oreille,,,,,,,,,,,,,,,,,,
Sandpoint / Lake Pend Oreille / Schweitzer, Idaho,Sandpoint Waterfront Resort / Condo Cluster,Condo / Rental Cluster Strategy,,Candidate,2026-05-24,Sandpoint #2.,,,,,,Varies; verify,,,,,,,,,GEG,90,,,,,,Y,Y,Y,,,,,,,,,,,,,,Lake Pend Oreille,,,,,,,,,,,,,,,,,,
Sandpoint / Lake Pend Oreille / Schweitzer, Idaho,Large Private Estate / Multi-Cabin Buyout,Rental Cluster Strategy,,Candidate,2026-05-24,Sandpoint #3.,,,,,,Varies; verify,,,,,,,,,GEG,90,,,,,,,,Y,Y,,,,,,,,,,,,,Lake Pend Oreille,,,,,,,,,,,,,,,,,,
Wallowa Lake / Joseph, Oregon,Eagle Cap Chalets,Chalet / Cabin Resort,,Finalist Candidate,2026-05-24,Wallowa Lake #1 / current best property.,,,,,,Likely; verify,,,,,,,,,PSC / GEG / BOI,180-270,,,,,,Y,Y,Y,,,,,,,,,,,,,,Wallowa Lake / Eagle Cap Wilderness,,,,,,,,,,,,,,,,,,
Wallowa Lake / Joseph, Oregon,Wallowa Lake Lodge,Historic Lodge,,Candidate,2026-05-24,Wallowa Lake #2.,,,,,,Likely; verify,,,,,,,,,PSC / GEG / BOI,180-270,,,,,,,,Y,,,Y,,,,,,,,,,,,Wallowa Lake / Eagle Cap Wilderness,,,,,,,,,,,,,,,,,,
Wallowa Lake / Joseph, Oregon,Wallowa Lake Resort,Cabin / Vacation Rental Resort,,Candidate,2026-05-24,Wallowa Lake #3.,,,,,,Likely; verify,,,,,,,,,PSC / GEG / BOI,180-270,,,,,,Y,Y,Y,,,,,,,,,,,,,,Wallowa Lake / Eagle Cap Wilderness,,,,,,,,,,,,,,,,,,
Wallowa Lake / Joseph, Oregon,Wallowa Lake Camp & Retreat Center,Camp / Retreat Center,,Candidate,2026-05-24,Wallowa Lake #4.,,,,,,Likely; verify,,,,,,,,,PSC / GEG / BOI,180-270,,,,,,Y,Y,Y,Y,,Y,Y,,,,,,,,,,,,Wallowa Lake / Eagle Cap Wilderness,,,,,,,,,,,,,,,,,,
Sedona, Arizona,Enchantment Resort,Luxury Resort,,Strong Contender,2026-05-24,Sedona #1; strong contender but not finalist.,,,,,,Likely; verify,,,,,,,,,FLG / PHX,45-120,,,,,,Y,,Y,Y,,Y,Y,,,,,,,,,,,,Sedona red rocks,,,,,,,,,,,,,,,,,,
Sedona, Arizona,Poco Diablo Resort,Resort,,Candidate,2026-05-24,Sedona #2.,,,,,,Likely; verify,,,,,,,,,FLG / PHX,45-120,,,,,,Y,,Y,Y,,Y,Y,,,,,,,,,,,,Sedona red rocks,,,,,,,,,,,,,,,,,,
Sedona, Arizona,Sedona Nearby Vacation Homes,Rental Cluster Strategy,,Candidate,2026-05-24,Sedona #3.,,,,,,Varies; verify,,,,,,,,,FLG / PHX,45-120,,,,,,,,Y,,,,,,,,,,,,,Sedona red rocks,,,,,,,,,,,,,,,,,,
Moab, Utah,Slick Rock Lodge,Large Lodge / Vacation Rental,,Second Tier,2026-05-24,Moab #1; area not finalist.,,,,,,Likely; verify,,,,,,,,,CNY / GJT / SLC,20-240,,,,,,,,Y,,,,,,,,,,,,Y,Arches & Canyonlands,,,,,,,,,,,,,,,,,,
Moab, Utah,Whispering Oaks Ranch,Ranch / Cabins,,Second Tier,2026-05-24,Moab #2; area not finalist.,,,,,,,,,,,,,,,,CNY / GJT / SLC,20-240,,,,,,,,Y,,,,,,,,,,,,,Moab / La Sal Mountains,,,,,,,,,,,,,,,,,,
Moab, Utah,Desert Vista Retreat,Retreat / Vacation Rental,,Second Tier,2026-05-24,Moab #3; area not finalist.,,,,,,Likely; verify,,,,,,,,,CNY / GJT / SLC,20-240,,,,,,,,Y,,,,,,,,,,,,Y,Arches & Canyonlands,,,,,,,,,,,,,,,,,,
Hood River / Columbia Gorge, Oregon/Washington,Skamania Lodge,Lodge Resort,,Finalist Candidate,2026-05-24,Hood River #1 / best overall choice.,,,,,,Likely; verify,,,,,,,,,PDX,45-60,,,,,,Y,,Y,Y,,Y,Y,,,,,,,,,,,,Columbia River Gorge,,,,,,,,,,,,,,,,,,
Hood River / Columbia Gorge, Oregon/Washington,Hood River Inn,Riverfront Hotel,,Candidate,2026-05-24,Hood River #2.,,,,,,Likely; verify,,,,,,,,,PDX,60-75,,,,,,Y,Y,Y,,,Y,,,,,,,,,,,,Columbia River Gorge,,,,,,,,,,,,,,,,,,
Hood River / Columbia Gorge, Oregon/Washington,Columbia Gorge Hotel & Spa,Historic Hotel,,Candidate,2026-05-24,Hood River #3.,,,,,,Likely; verify,,,,,,,,,PDX,60-75,,,,,,,,Y,,,Y,,,,,,,,,,,,Columbia River Gorge,,,,,,,,,,,,,,,,,,
Lake Chelan, Washington,Campbell's Resort,Lake Resort,,Finalist,2026-05-24,Lake Chelan primary/best practical property; 170+ rooms; private beach and event facilities.,,,170+ rooms,,,Likely; verify,,,,,,,,,EAT / SEA / GEG,60-240,,,,,,Y,Y,,Y,,Y,Y,,,,,,,,,,,,Lake Chelan,,,,,,,,,,,,,,,,,,
Lake Chelan, Washington,Lakeside Lodge and Suites,Hotel / Suites,,Candidate,2026-05-24,Lake Chelan candidate.,,,,,,Likely; verify,,,,,,,,,EAT / SEA / GEG,60-240,,,,,,Y,Y,,,,Y,,,,,,,,,,,,Lake Chelan,,,,,,,,,,,,,,,,,,
Lake Chelan, Washington,Lake Chelan Large Luxury Vacation Home Portfolio,Rental Cluster Strategy,,Candidate,2026-05-24,Lake Chelan multi-home strategy around Manson/Wapato Point/South Shore.,,,,,,Varies; verify,,,,,,,,,EAT / SEA / GEG,60-240,,,,,,,,Y,,,,,,,,,,,,,Lake Chelan,,,,,,,,,,,,,,,,,,
Bozeman / Gallatin Valley, Montana,Large Private Ranch Estates,Ranch Estate Strategy,,Finalist Candidate,2026-05-24,Bozeman #1; upper-tier finalist.,,,,,,Varies; verify,,,,,,,,,BZN,20-60,,,,,,,,Y,,,,,,,,,,,,,Gallatin Valley,,,,,,,,,,,,,,,,,,
Bozeman / Big Sky, Montana,Lone Mountain Ranch,Guest Ranch,,Candidate,2026-05-24,Bozeman #2; also Big Sky candidate.,,,,,,,,,,,,,,,,BZN,60-75,,,,,,Y,,Y,Y,,Y,Y,,,,,,,,,Y,Lone Mountain / Yellowstone gateway,,,,,,,,,,,,,,,,,,
Bozeman / Big Sky, Montana,320 Guest Ranch,Guest Ranch,,Candidate,2026-05-24,Bozeman #3.,,,,,,,,,,,,,,,,BZN,60-75,,,,,,Y,Y,Y,Y,,Y,Y,,,,,,,,,Y,Gallatin River / Yellowstone gateway,,,,,,,,,,,,,,,,,,
Bozeman / Gallatin Valley, Montana,Gallatin River Lodge,Lodge,,Candidate,2026-05-24,Bozeman #4.,,,,,,Likely; verify,,,,,,,,,BZN,20,,,,,,,,Y,,,Y,,,,,,,,,,,,Gallatin River,,,,,,,,,,,,,,,,,,
Stowe, Vermont,von Trapp Family Lodge & Resort,Mountain Resort,,Candidate,2026-05-24,Stowe #1.,,,,,,Likely; verify,,,,,,,,,BTV,45,,,,,,Y,,Y,Y,,Y,Y,,,,,,,,,,,,Stowe / Green Mountains,,,,,,,,,,,,,,,,,,
Stowe, Vermont,The Lodge at Spruce Peak,Mountain Resort,,Candidate,2026-05-24,Stowe candidate.,,,,,,Likely; verify,,,,,,,,,BTV,45,,,,,,Y,,Y,Y,,Y,Y,,,,,,,,,,,,Stowe / Green Mountains,,,,,,,,,,,,,,,,,,
Stowe, Vermont,Topnotch Resort,Resort,,Candidate,2026-05-24,Stowe candidate.,,,,,,Likely; verify,,,,,,,,,BTV,45,,,,,,Y,,Y,,,Y,,,,,,,,,,,,Stowe / Green Mountains,,,,,,,,,,,,,,,,,,
Stowe, Vermont,Edson Hill,Inn / Estate,,Candidate,2026-05-24,Stowe candidate.,,,,,,Likely; verify,,,,,,,,,BTV,45,,,,,,Y,,Y,,,Y,,,,,,,,,,,,Stowe / Green Mountains,,,,,,,,,,,,,,,,,,
Sebago Lake / Southern Maine,Migis Lodge,Lake Lodge / Resort,,Candidate,2026-05-24,Maine/Sebago key property; Maine best option was Sebago Lake.,,,,,,Likely; verify,,,,,,,,,PWM,45-60,,,,,,Y,Y,,Y,,Y,Y,,,,,,,,,,,,Sebago Lake,,,,,,,,,,,,,,,,,,
Sebago Lake / Southern Maine,Point Sebago Resort,Lake Resort / Campground,,Candidate,2026-05-24,Maine/Sebago key property.,,,,,,Likely; verify,,,,,,,,,PWM,45-60,,,,,,Y,Y,,Y,,Y,Y,,,,,,,,,,,,Sebago Lake,,,,,,,,,,,,,,,,,,
Moosehead Lake, Maine,Moosehead Lake Resort / Lodge Strategy,Lake Lodge / Rental Strategy,,Candidate,2026-05-24,Maine #2 area; objective property detail not recovered.,,,,,,Likely; verify,,,,,,,,,BGR / PWM,90-180,,,,,,,,Y,,,,,,,,,,,,,Moosehead Lake,,,,,,,,,,,,,,,,,,
Bethel, Maine,Sunday River / Bethel Resort Strategy,Mountain Resort / Rental Strategy,,Candidate,2026-05-24,Maine #3 area; objective property detail not recovered.,,,,,,Likely; verify,,,,,,,,,PWM / BGR,90-120,,,,,,Y,,Y,Y,,Y,Y,,,,,,,,,,,,Sunday River / Bethel,,,,,,,,,,,,,,,,,,
